"experiment_design","topic_for_analysis","guided_size","guideline_r","guideline_non_weighted","n_values","guideline_cramersv","guideline_spearmansrho","guideline_kendallstau","guideline_cohensd","guideline_or","guideline_Rsquared","guideline_fsquared","guideline_cohensf","guideline_cles"
"between","all","large",0.608276253029822,0.566127021958925,174,0.422414064604043,0.578266678014671,0.411460880554893,1.09122112190405,5.89684319175142,0.37,0.587301587301587,0.545610560952025,0.708138716264198
"between","all","medium",0.272874463997402,0.278780487804878,111,0.189496155553751,0.256234599758722,0.174161621582677,0.44,2.13079127412711,0.0744604731018694,0.0804508839848446,0.22,0.587974366985761
"between","all","small",0.14142135623731,0.14142135623731,74,0.0982092751647986,0.132505736781915,0.0894341089616856,0.224104582636807,1.47502423807884,0.0200000000000001,0.0204081632653063,0.112052291318404,0.545167235300867
"between","applied computing","large",0.677590425513667,0.677,25,0.470548906606713,0.64664851918836,0.468168270589988,1.2616456843428,7.46415549917027,0.459128784747792,0.848868957712421,0.6308228421714,0.736975756284798
"between","applied computing","medium",0.328629768420042,0.363124284630028,20,0.228215116958362,0.309011497020987,0.210981743223412,0.535775337045527,2.49937495729736,0.10799752469181,0.12107312219565,0.267887668522764,0.606586828351136
"between","applied computing","small",0.128092659839799,0.1240463299199,12,0.0889532359998604,0.12,0.0809569523777802,0.202754652917485,1.42168588703546,0.0164077295048345,0.0166814339610196,0.101377326458742,0.540885490520727
"between","collaborative and social computing","large",0.610009767145808,0.50900966192696,16,0.423617893851256,0.579967183206251,0.412830722302598,1.09526189223285,5.93084970549313,0.372111916013283,0.59264051270187,0.547630946116424,0.708834495535659
"between","collaborative and social computing","medium",0.271748716832641,0.3,14,0.188714386689334,0.255171151877677,0.17342475688427,0.438097486351503,2.12399341082441,0.0738473651001869,0.0797356313823751,0.219048743175751,0.587601956801312
"between","collaborative and social computing","small",0.069744590961562,0.21180339887499,11,0.048433743723307,0.0653079997888448,0.0439961869300939,0.11,1.21073379672326,0.0048643079683956,0.00488808511979401,0.055,0.522218430580383
"between","computing methodologies","large",0.700713921654194,0.678232998312527,11,0.486606890037635,0.669649238810632,0.488108589314499,1.32310304130169,8.09810989628102,0.491,0.964636542239685,0.661551520650843,0.747135056303182
"between","computing methodologies","medium",0.200647936405475,0.378086002364746,16,0.139338844726024,0.188151912538246,0.127318752984191,0.320000000000001,1.73884481232285,0.0402595943837755,0.0419484207898134,0.16,0.564304728549572
"between","computing methodologies","small",0.069744590961562,0.0918330013267038,6,0.048433743723307,0.0653079997888448,0.0439961869300939,0.11,1.21073379672326,0.0048643079683956,0.00488808511979401,0.055,0.522218430580383
"between","empirical studies in hci","large",0.584807660688538,0.54,77,0.406116431033707,0.555290787844439,0.393127416224487,1.03749821656447,5.45880916371877,0.342,0.519756838905775,0.518749108282236,0.698830018243956
"between","empirical studies in hci","medium",0.27,0.271085557732301,45,0.1875,0.253519367413721,0.17228059550264,0.435144400573705,2.1134806863922,0.0729,0.0786322942508899,0.217572200286853,0.587023704729853
"between","empirical studies in hci","small",0.14142135623731,0.14142135623731,33,0.0982092751647986,0.132505736781915,0.0894341089616856,0.224104582636807,1.47502423807884,0.0200000000000001,0.0204081632653063,0.112052291318404,0.545167235300867
"between","hci theory, concepts and models","large",0.72,0.70882396681759,8,0.5,0.688910549783755,0.505211266123696,1.37643151944786,8.67859751643535,0.5184,1.07641196013289,0.688215759723932,0.75585822465384
"between","hci theory, concepts and models","medium",0.31162565420426,0.31162565420426,11,0.216406704308514,0.292892391951404,0.199680903167992,0.506225197696648,2.38,0.097110548358233,0.107555302791114,0.253112598848324,0.600873485005555
"between","hci theory, concepts and models","small",0.138751192957106,0.145,5,0.0963549951091014,0.13,0.0877346339749275,0.219821671530917,1.46417351483833,0.0192518935470201,0.0196298044526921,0.109910835765458,0.544308831193639
"between","human computer interaction (hci)","large",0.645,0.607601164606715,20,0.447916666666667,0.614395028687692,0.440983734670157,1.1791398378395,6.67096992735896,0.416025,0.712402072006507,0.589569918919749,0.723142641496275
"between","human computer interaction (hci)","medium",0.3,0.3,19,0.208333333333333,0.28188397784235,0.191992080404151,0.486200674552583,2.30202140309156,0.09,0.0989010989010989,0.243100337276291,0.596986684020678
"between","human computer interaction (hci)","small",0.12,0.126369723156669,11,0.0833333333333333,0.112409556114463,0.0758170870707142,0.189825661253467,1.39028736912453,0.0144,0.0146103896103896,0.0949128306267334,0.538289458774147
"between","human-centered computing","large",0.610009767145808,0.566127021958925,162,0.423617893851256,0.579967183206251,0.412830722302598,1.09526189223285,5.93084970549313,0.372111916013283,0.59264051270187,0.547630946116424,0.708834495535659
"between","human-centered computing","medium",0.272874463997402,0.281160092200376,106,0.189496155553751,0.256234599758722,0.174161621582677,0.44,2.13079127412711,0.0744604731018694,0.0804508839848446,0.22,0.587974366985761
"between","human-centered computing","small",0.138751192957106,0.140710678118655,64,0.0963549951091014,0.13,0.0877346339749275,0.219821671530917,1.46417351483833,0.0192518935470201,0.0196298044526921,0.109910835765458,0.544308831193639
"between","interaction design","large",0.2865,0.387298334620742,7,0.198958333333333,0.269112534137867,0.183099645807524,0.463119297017134,2.21498603317219,0.08208225,0.089422227645124,0.231559648508567,0.592491842639483
"between","interaction design","medium",0.254000986305943,0.262000493152971,6,0.176389573823572,0.238415879506564,0.16183856494944,0.408249941783633,2.01989237499554,0.0645165010443918,0.0689659423350805,0.204124970891817,0.581746649828686
"between","interaction design","small",0.146539432559171,0.179171415717081,4,0.101763494832758,0.137309288513541,0.0926934087428081,0.232322488019708,1.49605893284312,0.0214738052947638,0.0219450490042655,0.116161244009854,0.546813524972076
"between","mixed / augmented reality","large",0.605412966636157,0.69000481793882,4,0.420425671275109,0.575458947938313,0.409203134204581,1.08456934489669,5.84118821611505,0.366524860171193,0.578593913362162,0.542284672448346,0.706992024997019
"between","mixed / augmented reality","medium",0.39,0.416061074738623,5,0.270833333333333,0.367381654517229,0.252382722314227,0.645355807513458,2.98934404751507,0.1521,0.179384361363368,0.322677903756729,0.627524996674405
"between","mixed / augmented reality","small",0.286713343256942,0.283356671628471,4,0.199106488372876,0.269314268156202,0.183239884440417,0.463482673772576,2.21633299735795,0.082204541201573,0.0895673871705519,0.231741336886288,0.59256272556407
"between","security and privacy","large",0.394608518225217,0.411550891069516,35,0.274033693211956,0.371778238103933,0.255535066885346,0.653791450498667,3.03030303030303,0.155715882655901,0.184435404453353,0.326895725249333,0.62911978102973
"between","security and privacy","medium",0.225,0.228630081100258,33,0.15625,0.211075681151006,0.143021272742029,0.360025922799696,1.86151223589962,0.050625,0.0533245556287031,0.180012961399848,0.572238212016189
"between","security and privacy","small",0.146539432559171,0.146539432559171,21,0.101763494832758,0.137309288513541,0.0926934087428081,0.232322488019708,1.49605893284312,0.0214738052947638,0.0219450490042655,0.116161244009854,0.546813524972076
"between","social and professional topics","large",0.645,0.767971866567452,6,0.447916666666667,0.614395028687692,0.440983734670157,1.1791398378395,6.67096992735896,0.416025,0.712402072006507,0.589569918919749,0.723142641496275
"between","social and professional topics","medium",0.21180339887499,0.230400695417383,6,0.147085693663187,0.198649509221161,0.134501592407766,0.3382863283,1.7939255542502,0.0448606797749981,0.0469676819130745,0.16914316415,0.567933649964582
"between","social and professional topics","small",0.13,0.1298,4,0.0902777777777778,0.121789245994904,0.0821691156357516,0.205805465729924,1.42919328396178,0.0169,0.0171905197843556,0.102902732864962,0.541497735091205
"between","virtual reality","large",0.5,0.495,15,0.347222222222222,0.472920920446766,0.329700164471934,0.856580146447995,4.16840277777778,0.25,0.333333333333333,0.428290073223998,0.666666666666667
"between","virtual reality","medium",0.322490309931942,0.343531690636985,9,0.223951604119404,0.303189077446766,0.20689373454642,0.525069069742763,2.45552378542305,0.104,0.116071428571429,0.262534534871381,0.604519973968983
"between","virtual reality","small",0.262370198570872,0.246981780704569,9,0.182201526785328,0.246314704709004,0.167295133109003,0.422291314567656,2.06827277982325,0.0688381210981188,0.073927125516886,0.211145657283828,0.584504155239412
"within","all","large",0.721265105267416,0.6557438524302,160,0.500878545324595,0.690176570663633,0.506349364369353,1.38,8.71845792708343,0.520223352076417,1.08430319468003,0.689999999999999,0.756439049357462
"within","all","medium",0.319574991741487,0.337892526855691,126,0.221927077598255,0.30042530316852,0.204955650374298,0.519999999999999,2.43500088464584,0.102128175346571,0.11374471560681,0.26,0.60354013411622
"within","all","small",0.120109224508554,0.154320256565028,60,0.0834091836864958,0.112511990242188,0.0758864246743669,0.19,1.39070630133375,0.0144262258120462,0.0146373880777545,0.0949999999999998,0.538324479308456
"within","applied computing","large",0.748331477354788,0.747253784293864,15,0.519674637051936,0.717339849837793,0.531222632148158,1.4585806451266,9.62881873944348,0.56,1.27272727272727,0.729290322563299,0.769144729387073
"within","applied computing","medium",0.44,0.418994683419478,16,0.305555555555556,0.415193087530178,0.286958354972409,0.738661682243289,3.46981930026913,0.1936,0.240079365079365,0.369330841121645,0.645021561874111
"within","applied computing","small",0.156283079100387,0.228764881752973,12,0.108529916041935,0.146456583367784,0.0989052146177547,0.248,1.53698011273807,0.0244244008130978,0.0250358873607073,0.124,0.549951212285697
"within","collaborative and social computing","large",0.619677335393187,0.619677335393187,13,0.430331482911935,0.58945941789822,0.420511661800801,1.11798849860691,6.12491073023752,0.384,0.623376623376624,0.558994249303455,0.712736531232693
"within","collaborative and social computing","medium",0.261272449574988,0.261272449574988,13,0.181439201093742,0.24527841561324,0.16657871346566,0.420446205214478,2.0618556701031,0.0682632929069147,0.0732645739802272,0.210223102607239,0.584142101093089
"within","collaborative and social computing","small",0.0526329700400273,0.0526329700400273,4,0.0365506736389078,0.0492807469772383,0.0331904688856657,0.082957839551039,1.15518722929979,0.00277022953523441,0.00277792502518584,0.0414789197755195,0.516761339578778
"within","computing methodologies","large",0.964365076099296,0.74589561743498,9,0.6696979695134,0.940384057631154,0.807897929106055,2.33395733903774,23.9261178470844,0.930000000000001,13.2857142857145,1.16697866951887,0.914768285808401
"within","computing methodologies","medium",0.319574991741487,0.331045632409271,9,0.221927077598255,0.30042530316852,0.204955650374298,0.519999999999999,2.43500088464584,0.102128175346571,0.11374471560681,0.26,0.60354013411622
"within","computing methodologies","small",0.0444227993630357,0.153875318466911,5,0.0308491662243303,0.0415921587362696,0.0280094638173287,0.0700000000000001,1.129464784076,0.00197338510324852,0.00197728705206191,0.035,0.514144871025989
"within","empirical studies in hci","large",0.598331012066064,0.616295053132372,69,0.4155076472681,0.56851989559278,0.403644431556794,1.06823535937105,5.70623311189524,0.358,0.557632398753895,0.534117679685526,0.70416921373532
"within","empirical studies in hci","medium",0.282842712474619,0.310337936453222,47,0.196418550329597,0.265654728778496,0.180696985531606,0.456896758636686,2.19203456709557,0.08,0.0869565217391304,0.228448379318343,0.591277445496914
"within","empirical studies in hci","small",0.110676478711772,0.113839878359781,22,0.0768586657720639,0.103666831449256,0.069901596885007,0.174959303871095,1.35500624937022,0.0122492829400373,0.0124011886080906,0.0874796519355475,0.535301739223365
"within","hci theory, concepts and models","large",0.98488578017961,0.966368991926304,7,0.683948458458063,0.962253125417131,0.857734915853321,2.45665488256045,26.4801896876453,0.969999999999999,32.3333333333324,1.22832744128022,0.94458765669777
"within","hci theory, concepts and models","medium",0.598331012066064,0.65,9,0.4155076472681,0.56851989559278,0.403644431556794,1.06823535937105,5.70623311189524,0.358,0.557632398753895,0.534117679685526,0.70416921373532
"within","hci theory, concepts and models","small",0.114669259648296,0.176096129242606,4,0.0796314303113167,0.107410610373253,0.0724341227542803,0.181322130940389,1.37,0.0131490391082883,0.0133242400619511,0.0906610654701943,0.536580826810869
"within","human computer interaction (hci)","large",0.640312423743285,0.703248568020898,13,0.444661405377281,0.609771051103215,0.437153698721998,1.16763515335879,6.56554976150323,0.41,0.694915254237289,0.583817576679397,0.721195111651452
"within","human computer interaction (hci)","medium",0.33166247903554,0.399214903694662,27,0.230321165996903,0.311888665766524,0.213004424602462,0.541079769092684,2.52135697328846,0.11,0.123595505617978,0.270539884546342,0.607609512771821
"within","human computer interaction (hci)","small",0.168508640386103,0.129228479833201,11,0.117019889157016,0.157938678564432,0.106712826129925,0.267735145961368,1.59,0.028395161884773,0.0292250107974508,0.133867572980684,0.553895108731066
"within","human-centered computing","large",0.741619848709566,0.676737210232263,149,0.515013783826088,0.710590219940855,0.524957393170411,1.43868308291904,9.39238778834276,0.549999999999999,1.22222222222222,0.719341541459519,0.76594214021463
"within","human-centered computing","medium",0.32,0.346410161513775,118,0.222222222222222,0.3008281790324,0.205238070058406,0.520738405781517,2.43798091720529,0.1024,0.114081996434938,0.260369202890758,0.603682916027458
"within","human-centered computing","small",0.120109224508554,0.157501208470994,55,0.0834091836864958,0.112511990242188,0.0758864246743669,0.19,1.39070630133375,0.0144262258120462,0.0146373880777545,0.0949999999999998,0.538324479308456
"within","interaction design","large",0.991463564635635,0.578791845139511,7,0.688516364330302,0.969292259119208,0.877844224663144,2.4984516557856,27.3756315773003,0.983,57.8235294117647,1.2492258278928,0.95837896920508
"within","interaction design","medium",0.129485816516367,0.251517942003002,6,0.0899207059141438,0.121306888032342,0.0818423096257311,0.20498288414524,1.42716536235203,0.0167665766789103,0.0170524885355071,0.10249144207262,0.541332670220018
"within","interaction design","small",0.0821896208040639,0.0822583990237926,2,0.0570761255583777,0.0769672108082622,0.0518628301653864,0.1297043720586,1.25284299139463,0.00675513376791581,0.00680107594569474,0.0648521860293,0.526191313115708
"within","mixed / augmented reality","large",0.777810818416074,0.752910903672063,6,0.540146401677829,0.747099325618846,0.559597141591626,1.54950515968531,10.7606147291309,0.604989669245083,1.5315793591749,0.774752579842656,0.783669837307465
"within","mixed / augmented reality","medium",0.477607580071342,0.503803790035671,6,0.331671930605099,0.451327859573552,0.313570311300315,0.811725315085025,3.8901078679009,0.228109000541603,0.295519705115953,0.405862657542513,0.658495919610225
"within","mixed / augmented reality","small",0.247989886332172,0.328403178772662,6,0.172215198841786,0.232745166617128,0.157926951406945,0.398200617716973,1.98590331975611,0.0614989837230436,0.0655289473920984,0.199100308858486,0.579769976864519
"within","security and privacy","large",0.445926770817257,0.32,23,0.309671368623095,0.420877388979551,0.291115227366404,0.749999999999999,3.53243179280021,0.198850684931506,0.248206771436241,0.375,0.647125825286958
"within","security and privacy","medium",0.168508640386103,0.168508640386103,20,0.117019889157016,0.157938678564432,0.106712826129925,0.267735145961368,1.59,0.028395161884773,0.0292250107974508,0.133867572980684,0.553895108731066
"within","security and privacy","small",0.0570922233584818,0.0570922233584818,15,0.039647377332279,0.0534570360431131,0.0360053684997603,0.0900000000000001,1.16940708050217,0.00325952196801477,0.00327018119546077,0.045,0.518182906187471
"within","social and professional topics","large",0.797938516889007,0.753969258444503,4,0.55412397006181,0.767528211154284,0.579878616235791,1.61521868686914,11.6312818279684,0.636705876735028,1.75259063100958,0.807609343434572,0.794076076050521
"within","social and professional topics","medium",0.458257569495584,0.458257569495584,7,0.318234423260822,0.432715943879478,0.299807005559984,0.773795652627417,3.66692225552553,0.21,0.265822784810127,0.386897826313709,0.651526270446735
"within","social and professional topics","small",0.20976176963403,0.225215208627639,4,0.145667895579188,0.196727839102855,0.133185745221794,0.334933588397199,1.7837068372914,0.0439999999999999,0.0460251046025103,0.167466794198599,0.567268842814701
"within","virtual reality","large",0.728297177341427,0.623394542580144,22,0.505761928709324,0.697219537618992,0.512713794751525,1.4,8.9442337278789,0.53041677852349,1.12954797843011,0.7,0.75968794298401
"within","virtual reality","medium",0.528201112952787,0.457165178026498,9,0.366806328439435,0.500203794402286,0.350353099494251,0.914675587177181,4.55277565563586,0.278996415724563,0.386955657099731,0.45733779358859,0.677133287018439
"within","virtual reality","small",0.261709356608678,0.261803398874989,19,0.181742608756026,0.245690852726246,0.166863824479004,0.421180440277183,2.06440709418432,0.0684917873365282,0.0735278405551454,0.210590220138592,0.584286186229513
